#{"t_start": 1519520023.233818, "env_id": "KangarooNoFrameskip-v0"}
r,l,t
0.0,414,3.239605
200.0,633,5.928581
0.0,473,7.725358
0.0,590,10.268544
0.0,492,12.397662
0.0,352,13.717041
0.0,487,15.759197
0.0,495,17.851997
0.0,461,19.662916
0.0,466,21.743261
0.0,421,23.554084
0.0,603,26.1797
0.0,280,27.301787
0.0,411,28.942464
0.0,403,30.576927
0.0,288,31.72952
200.0,538,33.970423
0.0,399,35.717499
0.0,299,37.103267
200.0,659,39.878474
0.0,608,42.508343
0.0,511,44.671755
0.0,661,47.855336
0.0,711,50.947228
0.0,676,54.002945
0.0,537,56.189354
0.0,351,57.678714
0.0,289,58.811452
0.0,285,59.922755
0.0,513,62.004463
0.0,476,64.055373
0.0,363,65.579586
0.0,413,67.249829
0.0,416,68.919578
0.0,467,70.881275
400.0,624,73.47612
0.0,546,75.675152
200.0,528,77.832121
200.0,403,79.63191
0.0,460,81.49337
0.0,594,84.171617
0.0,468,86.340282
0.0,287,87.503329
200.0,536,89.895721
0.0,360,91.401192
0.0,420,93.105375
0.0,465,94.959419
0.0,467,97.058054
0.0,411,98.812095
200.0,532,100.952249
0.0,278,102.063124
0.0,414,103.910666
0.0,548,106.166545
0.0,349,107.483009
200.0,399,109.334902
0.0,478,111.187106
0.0,341,112.787
400.0,543,115.109238
200.0,414,116.95157
0.0,366,118.651835
200.0,475,120.70259
0.0,662,123.481383
0.0,344,124.837454
200.0,354,126.331729
200.0,342,127.778434
200.0,530,129.911816
0.0,532,132.05633
0.0,291,133.193441
200.0,403,134.797032
0.0,473,136.82249
0.0,426,138.509377
0.0,414,140.217443
200.0,402,141.866214
0.0,423,143.541868
0.0,551,145.914671
0.0,590,148.282307
0.0,414,149.911495
0.0,530,152.205047
0.0,473,153.993157
0.0,404,155.598743
0.0,527,157.735007
0.0,281,158.853957
200.0,338,160.570252
0.0,546,163.309473
200.0,411,165.102329
200.0,400,166.75684
200.0,531,169.24364
200.0,402,170.958344
0.0,465,172.775909
0.0,476,174.848858
0.0,354,176.457946
200.0,531,178.667663
0.0,412,180.306442
0.0,538,182.640742
0.0,349,184.126636
200.0,421,185.815389
200.0,409,187.431092
0.0,344,188.878246
200.0,606,191.237167
0.0,460,193.324394
200.0,462,195.130878
0.0,494,197.188154
0.0,481,199.260037
200.0,409,200.949697
0.0,334,202.350425
0.0,276,203.790219
0.0,342,205.065722
0.0,274,206.160455
0.0,343,207.599967
0.0,468,209.398491
0.0,409,211.270312
0.0,481,213.097699
0.0,281,214.225633
0.0,339,215.744152
400.0,532,217.891649
0.0,344,219.366876
0.0,283,220.465421
0.0,347,221.947492
0.0,344,223.298921
200.0,409,224.967538
0.0,337,226.433182
0.0,282,227.589473
400.0,412,229.283095
0.0,279,230.363397
0.0,277,231.460736
200.0,534,233.631007
0.0,406,235.427868
0.0,340,236.657429
0.0,398,238.235607
200.0,468,240.186774
0.0,332,241.398094
400.0,597,243.895638
200.0,396,245.551459
0.0,346,247.026202
0.0,282,248.160544
0.0,399,249.768893
0.0,275,250.862233
0.0,344,252.317601
200.0,400,253.904316
0.0,285,254.995371
0.0,403,256.579153
0.0,331,257.812323
0.0,277,259.014366
0.0,337,260.50234
400.0,395,262.092594
200.0,408,263.694191
0.0,402,265.355386
0.0,334,266.778606
0.0,276,267.849625
0.0,331,269.066692
0.0,403,270.843956
0.0,273,271.914271
200.0,401,273.527391
0.0,294,274.661503
400.0,533,276.871089
0.0,474,278.824343
200.0,462,280.56598
0.0,334,282.022524
0.0,403,283.621358
0.0,274,284.690792
200.0,403,286.296222
200.0,338,287.717297
0.0,341,289.061847
0.0,468,291.109221
0.0,339,292.429366
400.0,470,294.409148
0.0,412,296.058161
0.0,400,297.670533
0.0,530,299.816857
0.0,459,301.74738
0.0,541,303.93157
0.0,396,305.578699
0.0,404,307.211518
0.0,406,308.81153
0.0,279,309.904217
0.0,340,311.360602
0.0,337,312.6497
0.0,275,313.914508
0.0,280,315.041328
0.0,274,316.106749
0.0,531,318.218
200.0,333,319.508644
0.0,333,320.923138
0.0,401,322.533322
0.0,339,323.972193
200.0,334,325.214941
0.0,399,326.818251
200.0,338,328.238546
0.0,289,329.359296
0.0,335,330.605906
0.0,334,332.016967
0.0,463,333.967769
0.0,401,335.551583
0.0,397,337.129927
0.0,336,338.361462
0.0,272,339.431257
200.0,395,341.005079
0.0,466,342.97906
0.0,340,344.404982
200.0,333,345.701271
0.0,340,347.12951
200.0,333,348.353394
0.0,342,349.867007
0.0,279,350.950928
0.0,338,352.377962
0.0,270,353.440941
200.0,335,354.663301
0.0,267,355.818758
0.0,272,356.951474
0.0,334,358.391052
200.0,406,360.017236
0.0,334,361.246541
0.0,270,362.351577
200.0,463,364.290189
200.0,331,365.7791
0.0,275,366.860118
200.0,393,368.426476
0.0,467,370.231831
0.0,277,371.313071
0.0,399,372.898485
0.0,460,374.851722
0.0,273,375.972074
0.0,340,377.427904
0.0,276,378.543527
0.0,281,379.794648
0.0,283,380.894953
0.0,280,382.024776
0.0,458,383.953331
0.0,397,385.543627
0.0,341,386.779895
0.0,350,388.257481
0.0,475,390.226422
0.0,284,391.333453
200.0,398,392.931671
0.0,333,394.179827
0.0,272,395.273351
200.0,337,396.727767
0.0,471,398.686177
0.0,403,400.273863
0.0,274,401.386848
200.0,531,403.496434
0.0,339,404.739624
200.0,537,406.880419
0.0,282,408.215916
0.0,337,409.546445
0.0,464,411.486968
200.0,340,412.748781
0.0,402,414.345737
0.0,341,415.822806
0.0,360,417.305506
0.0,347,418.576689
0.0,279,419.866827
0.0,593,422.164583
0.0,399,423.754052
200.0,593,426.214723
0.0,526,428.3676
0.0,431,430.123811
0.0,533,432.288721
200.0,346,433.72295
200.0,596,436.037623
0.0,342,437.474874
0.0,656,440.274482
200.0,405,441.870229
0.0,415,443.495554
0.0,478,445.486671
0.0,530,447.611233
200.0,533,449.738757
200.0,406,451.405758
0.0,468,453.394757
0.0,403,454.985193
200.0,472,456.95022
200.0,408,458.618918
0.0,415,460.281251
0.0,471,462.236347
0.0,467,464.020389
0.0,404,465.619614
0.0,333,467.048789
0.0,332,468.260796
0.0,402,469.957621
0.0,398,471.542186
0.0,336,472.964517
0.0,466,474.927848
0.0,405,476.540474
0.0,414,478.19435
0.0,599,480.537243
0.0,341,481.964591
0.0,340,483.391627
0.0,283,484.489454
0.0,412,486.129899
0.0,397,487.719023
0.0,269,488.784408
0.0,336,490.253378
200.0,399,491.836429
0.0,535,493.967725
0.0,403,495.57774
0.0,401,497.192801
0.0,335,498.64275
0.0,404,500.3079
0.0,348,501.581088
0.0,497,503.657862
0.0,461,505.694566
0.0,360,506.98955
200.0,469,508.946246
200.0,394,510.516014
0.0,396,512.146965
0.0,405,513.734719
0.0,401,515.391694
0.0,564,517.789559
0.0,469,519.549816
0.0,468,521.497016
0.0,337,522.730545
200.0,469,524.695369
0.0,334,525.912984
0.0,468,527.864216
0.0,589,530.481909
200.0,467,532.406932
0.0,336,533.965512
0.0,281,535.220294
0.0,402,536.850362
0.0,333,538.137627
0.0,278,539.419708
0.0,475,541.214885
0.0,404,542.866803
200.0,529,545.088291
0.0,398,547.115411
0.0,413,549.010914
0.0,466,550.909732
0.0,343,552.397787
200.0,336,553.656059
0.0,337,555.118057
0.0,341,556.578693
0.0,401,558.187493
0.0,399,559.898723
0.0,410,561.492879
200.0,398,563.074043
200.0,462,564.821838
0.0,472,566.77716
0.0,343,568.256169
0.0,477,570.261313
200.0,473,572.335904
200.0,465,574.29114
200.0,527,576.459808
0.0,369,577.768403
0.0,412,579.623934
0.0,532,581.776494
400.0,486,583.614865
200.0,378,585.156764
0.0,439,587.108818
200.0,441,588.894645
0.0,350,590.391201
0.0,464,592.149717
0.0,396,593.721228
0.0,334,595.183796
0.0,275,596.253369
0.0,280,597.34332
0.0,461,599.26812
0.0,345,600.539025
0.0,352,602.019606
0.0,279,603.170332
0.0,399,604.75106
0.0,398,606.386479
200.0,542,608.64696
0.0,598,611.887694
200.0,399,613.586397
0.0,535,615.739996
0.0,536,617.999378
0.0,279,619.27551
0.0,399,620.898255
0.0,400,622.581745
