#{"t_start": 1519520023.2295725, "env_id": "KangarooNoFrameskip-v0"}
r,l,t
0.0,460,478.37109
0.0,400,479.998575
0.0,409,481.785955
0.0,282,482.878178
0.0,405,484.476704
0.0,401,486.089104
200.0,342,487.337016
0.0,401,489.141154
0.0,414,490.808904
0.0,275,491.888887
0.0,281,492.976763
0.0,336,494.211273
0.0,479,496.228894
0.0,412,497.847256
0.0,274,499.017484
0.0,480,501.005251
0.0,278,502.101318
200.0,409,503.772883
200.0,402,505.433084
0.0,344,506.879882
200.0,472,508.841886
0.0,283,509.942713
200.0,482,511.98295
0.0,535,514.10803
0.0,355,515.455505
400.0,460,517.392114
0.0,602,519.873816
0.0,529,521.982904
0.0,346,523.236103
0.0,537,525.376408
200.0,409,526.976424
0.0,484,529.095042
0.0,404,530.761075
200.0,347,532.332546
0.0,276,533.536371
0.0,339,535.148479
0.0,340,536.411826
0.0,534,538.618967
400.0,463,540.581649
200.0,402,542.222282
200.0,415,543.93308
0.0,397,545.558658
0.0,339,547.480535
200.0,404,549.116481
200.0,335,550.444911
0.0,280,551.747109
0.0,406,553.424589
200.0,467,555.234966
200.0,530,557.381349
0.0,531,559.624724
200.0,526,561.721651
0.0,401,563.494643
0.0,591,565.760331
0.0,299,566.899937
0.0,401,568.540985
0.0,464,570.727377
0.0,345,572.228683
0.0,401,573.82853
0.0,602,576.195715
0.0,411,577.813804
0.0,350,579.305156
0.0,459,581.244082
200.0,455,583.031627
0.0,557,585.256444
0.0,340,586.724676
200.0,400,588.313531
0.0,471,590.422954
0.0,405,592.013598
0.0,530,594.131027
0.0,349,595.627177
0.0,406,597.231201
0.0,406,598.825847
200.0,402,600.427399
0.0,354,601.915982
0.0,278,603.059811
0.0,480,604.865895
200.0,336,606.325306
0.0,531,608.556906
0.0,469,611.011817
0.0,339,612.543102
200.0,528,614.761398
200.0,345,616.22529
0.0,461,618.098153
0.0,403,620.080477
0.0,337,621.360886
0.0,340,622.878756
0.0,338,624.229452
0.0,403,625.839095
0.0,401,627.432301
0.0,285,628.720101
200.0,408,630.354357
200.0,343,631.63812
0.0,397,633.253954
0.0,275,634.322271
0.0,525,636.433258
200.0,401,638.35735
400.0,403,639.989025
200.0,400,641.583879
0.0,346,642.842803
0.0,418,644.666322
0.0,538,646.870845
0.0,403,648.491072
0.0,410,650.204951
0.0,405,651.805623
0.0,394,653.377427
0.0,336,654.804008
0.0,274,655.910459
0.0,403,657.589029
0.0,462,659.359831
0.0,338,660.78458
0.0,401,662.370651
0.0,348,663.868952
200.0,404,665.574692
0.0,276,666.709082
600.0,527,668.880012
200.0,330,670.109383
0.0,405,671.711348
0.0,407,673.512066
0.0,340,674.777014
0.0,277,675.866367
0.0,270,676.933708
0.0,274,678.010613
0.0,341,679.580447
0.0,340,681.151511
0.0,271,682.239073
0.0,346,683.707598
200.0,531,685.936118
0.0,409,687.741164
0.0,413,689.366162
0.0,356,690.655471
0.0,347,692.155013
0.0,599,694.64445
0.0,343,695.896691
200.0,411,697.51789
200.0,477,699.527505
200.0,407,701.135355
0.0,369,702.636842
0.0,356,704.105205
0.0,358,705.408426
0.0,352,706.982319
0.0,413,708.686467
0.0,544,711.06179
0.0,341,712.303377
0.0,286,713.409194
0.0,492,715.441571
0.0,424,717.086584
0.0,424,718.911003
0.0,479,720.708638
0.0,297,722.026033
0.0,282,723.117024
0.0,524,725.218545
0.0,414,726.864757
0.0,489,728.966509
0.0,545,731.234378
0.0,347,732.539785
0.0,538,734.895281
0.0,281,735.997965
0.0,472,737.793524
200.0,602,740.457375
0.0,414,742.09776
